ILHÉUS;Pavilhão Jorge Amado;-14.7970696;-39.171417;Rod. Jorge Amado, 15 - Salobrinho, Ilhéus - BA, Brazil
ILHÉUS;Pavilion of Exact Sciences and Technology;-14.7962817;-39.1716534;Salobrinho, Ilhéus - BA, Brazil
ILHÉUS;Edifício José Haroldo Castro Vieira;-14.7966586;-39.1722773;Salobrinho, Ilhéus - BA, Brazil
ILHÉUS;Pavilhão Max de Menezes;-14.7980584;-39.17285390000001;Salobrinho, Ilhéus - BA, Brazil
ILHÉUS;Pavilhão Adonias Filho;-14.7971858;-39.17315969999999;Rod. Jorge Amado, 16 - Salobrinho, Ilhéus - BA, Brazil
ILHÉUS;Programa de Pós-Graduação em Química - PPGQUIM;-14.7969939;-39.1735374;Salobrinho, Ilhéus - BA, Brazil
ILHÉUS;Pavilhão De Medicina Veterinária;-14.7947337;-39.1751282;Salobrinho, Ilhéus - BA, Brazil
ILHÉUS;Colegio Estadual Jorge Calmon;-14.9445763;-39.0110712;BA-001 - Olivença, Ilhéus - BA, Brazil
ILHÉUS;EAD Laureate - Itabuna;-14.7722259;-39.2639441;R. Castro Alves, 83 - Califórnia, Itabuna - BA, 45604-182, Brazil
ILHÉUS;PHD Educacional Pós-graduação;-14.7901662;-39.2735756;R. Firmino Alves, 60 - Centro, Itabuna - BA, 45600-908, Brazil
ILHÉUS;Centro Universitario Leonardo Da Vinci;-14.7932983;-39.2757904;R. Maria Ferreira, 83 - Duque de Caxias, Itabuna - BA, 45600-733, Brazil
ILHÉUS;UNISA - Polo Educacional de Itabuna;-14.7944056;-39.2771023;R. Alm. Barroso, 261 - Centro, Itabuna - BA, 45600-283, Brazil
ILHÉUS;Faculdade Prosec;-14.7880327;-39.2784178;Jardim de Ala, Itabuna - BA, 45600-185, Brazil
ILHÉUS;Faculdade Unime Itabuna - Campus 2;-14.799274;-39.289078;Av. José Soares Pinheiro, 1191 - Lomanto Júnior, Itabuna - BA, 45600-297, Brazil
ILHÉUS;Faculdade Unime Itabuna - Campus 1;-14.803726;-39.291915;Av. José Soares Pinheiro, 1600 - Centro, Itabuna - BA, 45600-298, Brazil
ILHÉUS;Unime;-14.8044797;-39.2920751;Av. José Soares Pinheiro - Lomanto Júnior, Itabuna - BA, 45601-000, Brazil
ILHÉUS;Faculdade Stº Agostinho;-14.815348;-39.29928;Av. Ibicaraí, 3270 - Nova Itabuna, Itabuna - BA, 45600-769, Brazil
ILHÉUS;UFBA;-14.8439934;-39.3313957;R. Itabuna - Ferradas, Itabuna - BA, 45609-020, Brazil
